score_name,description,path,top1,top20,top100_negative_back_raw
global__itext_all__C_toi_HminusG,"Global rank-percentile combo: 0.5*P(Itext_all) + 0.5*P(max(0, RawTOI_hallucinated - RawTOI_non_hallucinated)).",/workspace/ADHH/results_deact/coco/llava-v1.5-7b/calibration_runtime/l0_l31_train_n500/last_row/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json,L31H27,L31H27 L14H16 L31H13 L14H20 L29H10 L28H25 L31H0 L29H15 L26H9 L24H23 L23H18 L15H25 L16H2 L26H28 L12H24 L26H4 L27H12 L22H11 L18H9 L15H4,0
global__itext_all__C_toi_HminusG_signed,"Global signed rank-percentile combo: 0.5*P(Itext_all) + 0.5*P(RawTOI_hallucinated - RawTOI_non_hallucinated), without clipping negative contrast to zero.",/workspace/ADHH/results_deact/coco/llava-v1.5-7b/calibration_runtime/l0_l31_train_n500/last_row/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG_signed.json,L31H27,L31H27 L14H16 L31H13 L14H20 L29H10 L28H25 L31H0 L29H15 L26H9 L24H23 L23H18 L15H25 L16H2 L26H28 L12H24 L26H4 L27H12 L22H11 L18H9 L15H4,0
