score_name,description,path,top1,top20,top100_negative_back_raw
global__itext_all__C_toi_HminusG,"Global rank-percentile combo: 0.5*P(Itext_all) + 0.5*P(max(0, RawTOI_hallucinated - RawTOI_non_hallucinated)).",./results_deact/coco/llava-v1.5-7b/resources/l9_l16_train_n500/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json,L14H16,L14H16 L14H20 L16H2 L15H25 L12H24 L15H4 L11H7 L16H6 L16H17 L9H27 L16H9 L13H17 L9H31 L14H19 L15H24 L14H29 L15H13 L12H6 L10H24 L14H22,0
global__itext_all__C_toi_HminusG_signed,"Global signed rank-percentile combo: 0.5*P(Itext_all) + 0.5*P(RawTOI_hallucinated - RawTOI_non_hallucinated), without clipping negative contrast to zero.",./results_deact/coco/llava-v1.5-7b/resources/l9_l16_train_n500/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG_signed.json,L14H16,L14H16 L14H20 L16H2 L15H25 L12H24 L15H4 L11H7 L16H6 L16H17 L9H27 L16H9 L13H17 L9H31 L14H19 L15H24 L14H29 L15H13 L12H6 L10H24 L14H22,16
