score_name,description,path,top1,top20,top100_negative_back_raw
global__itext_all__C_toi_HminusG,"Global rank-percentile combo: 0.5*P(Itext_all) + 0.5*P(max(0, RawTOI_hallucinated - RawTOI_non_hallucinated)).",./results_deact/coco/llava-v1.5-13b/resources/l10_l17_train_n500/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json,L16H8,L16H8 L15H7 L16H39 L15H22 L16H24 L16H10 L11H20 L10H6 L12H33 L11H8 L13H25 L13H14 L14H0 L16H31 L17H20 L16H16 L15H32 L10H20 L16H14 L14H37,0
global__itext_all__C_toi_HminusG_signed,"Global signed rank-percentile combo: 0.5*P(Itext_all) + 0.5*P(RawTOI_hallucinated - RawTOI_non_hallucinated), without clipping negative contrast to zero.",./results_deact/coco/llava-v1.5-13b/resources/l10_l17_train_n500/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG_signed.json,L16H8,L16H8 L15H7 L16H39 L15H22 L16H24 L16H10 L11H20 L10H6 L12H33 L11H8 L13H25 L13H14 L14H0 L16H31 L17H20 L16H16 L15H32 L10H20 L16H14 L14H37,1
